OBJECTID,BOREHOLE,X,Y,GEOL,longitud,latitud,DESCRIPTIO,THICKNESS,PERCCLAY,PERMEABILI
71,Bhnr71,832095,1045256,qpfmix,-75.591380,5.003703,Mixed pyroclastic flow and debris flow deposits,40,10,2.50000000000
72,Bhnr72,835875,1045362,qal,-75.557310,5.004739,Recent alluvial material,20,0,3.50000000000
73,Bhnr73,831475,1045256,qlahar,-75.596970,5.003690,Lahar deposits,25,25,2.50000000000
74,Bhnr74,833129,1045212,inch,-75.582060,5.003327,Gneissic intrusive,4,20,0.90000000000
75,Bhnr75,834447,1045269,inch,-75.570180,5.003869,Gneissic intrusive,2,20,0.90000000000
76,Bhnr76,836973,1045237,qal,-75.547400,5.003632,Recent alluvial material,20,0,3.50000000000
77,Bhnr77,832425,1045175,kdg,-75.588400,5.002978,Dioritic gabbro,3,35,0.10000000000
78,Bhnr78,829139,1045150,kd,-75.618020,5.002683,Subaquatic lavaflows,8,55,0.00000000000
79,Bhnr79,835922,1045131,kis,-75.556880,5.002652,Metasedimentary rock,5,45,0.00000000000
80,Bhnr80,831319,1045044,qdfmix,-75.598370,5.001771,"Mixed debris flow, ashes and alluvial material",35,10,3.00000000000
81,Bhnr81,829015,1044937,kd,-75.619130,5.000755,Subaquatic lavaflows,6,55,0.00000000000
82,Bhnr82,835874,1045112,kis,-75.557310,5.002479,Metasedimentary rock,9,45,0.00000000000
83,Bhnr83,832301,1045006,kdg,-75.589510,5.001448,Dioritic gabbro,2,35,0.10000000000
84,Bhnr84,828020,1044444,kclp,-75.628090,4.996277,Chloritic/amfibolitic schists,4,60,0.00000000000
85,Bhnr85,832252,1044931,kdg,-75.589950,5.000769,Dioritic gabbro,4,35,0.10000000000
86,Bhnr86,835144,1044888,kd,-75.563880,5.000439,Subaquatic lavaflows,4,55,0.00000000000
87,Bhnr87,836339,1044931,qal,-75.553110,5.000853,Recent alluvial material,20,0,3.50000000000
88,Bhnr88,836451,1044925,kis,-75.552100,5.000801,Metasedimentary rock,7,45,0.00000000000
89,Bhnr89,834269,1044837,inch,-75.571770,4.999960,Gneissic intrusive,2,20,0.90000000000
90,Bhnr90,833600,1044825,inch,-75.577800,4.999838,Gneissic intrusive,4,20,0.90000000000
91,Bhnr91,831579,1044481,kclp,-75.596010,4.996687,Chloritic/amfibolitic schists,8,60,0.00000000000
92,Bhnr92,835350,1044687,kd,-75.562020,4.998627,Subaquatic lavaflows,8,55,0.00000000000
